净值日期,单位净值,累计净值
2026-06-16,4.481,4.481
2026-06-17,4.6144,4.6144
2026-06-18,4.7037,4.7037
2026-06-22,4.7888,4.7888
2026-06-23,4.6517,4.6517
2026-06-25,4.9988,4.9988
2026-06-29,4.9021,4.9021
2026-07-01,4.9942,4.9942
2026-07-02,4.6187,4.6187
2026-07-03,4.618,4.618
2026-07-06,4.5827,4.5827
2026-07-07,4.5517,4.5517
2026-07-08,4.4964,4.4964
2026-07-09,4.7223,4.7223
2026-07-10,4.4922,4.4922
2026-07-13,4.3012,4.3012
2026-07-14,4.5005,4.5005
2026-07-15,4.3875,4.3875
2026-07-16,4.2212,4.2212
2026-07-17,3.9403,3.9403
2026-07-20,3.7969,3.7969
